apparition	illusion	appearance	representation	content	cognition	ghost
constructive_fraud	fraud	crime	transgression	wrongdoing	activity	fraud_in_law
photographic_equipment	equipment	instrumentality	artifact	whole	object	camera
encouragement	approval	message	communication	abstraction	entity	cheering
container	instrumentality	artifact	whole	object	physical_entity	dish
headdress	clothing	consumer_goods	commodity	artifact	whole	hat
cushion	padding	artifact	whole	object	physical_entity	pillow
commercial_enterprise	enterprise	organization	social_group	group	abstraction	industry
dispatch	departure	act	event	psychological_feature	abstraction	reshipment
eisteddfod	festival	celebration	diversion	activity	act	Royal_National_Eisteddfod
metric_linear_unit	linear_unit	unit_of_measurement	definite_quantity	measure	abstraction	kilometer
desertion	withdrawal	departure	act	event	psychological_feature	absence_without_leave
carnivore	placental	mammal	vertebrate	chordate	animal	feline
interchange	interaction	action	act	event	psychological_feature	dealings
code	coding_system	writing	written_communication	communication	abstraction	software
induction	introduction	beginning	change_of_state	change	action	induction_of_labor
table_game	game	activity	act	event	psychological_feature	table_tennis
opinion	belief	content	cognition	psychological_feature	abstraction	judgment
unfriendliness	disposition	nature	trait	attribute	abstraction	hostility
show	entertainment	diversion	activity	act	event	Wild_West_Show
whiptail	teiid_lizard	lizard	saurian	diapsid	reptile	plateau_striped_whiptail
religious	religious_person	person	causal_agent	physical_entity	entity	monk
reconnaissance	intelligence	information_gathering	operation	activity	act	reconnaissance_in_force
financial_condition	condition	state	attribute	abstraction	entity	wealth
transportation	movement	change	action	act	event	delivery
integer	number	definite_quantity	measure	abstraction	entity	digit
pyralid	moth	lepidopterous_insect	insect	arthropod	invertebrate	Mediterranean_flour_moth
snapping_turtle	turtle	chelonian	anapsid	reptile	vertebrate	common_snapping_turtle
beam	light	actinic_radiation	electromagnetic_radiation	radiation	energy	sunbeam
representation	creation	artifact	whole	object	physical_entity	pieta
book	publication	work	product	creation	artifact	booklet
success	attainment	accomplishment	action	act	event	winning
supplier	businessperson	capitalist	person	causal_agent	physical_entity	distributor
great_ape	anthropoid_ape	ape	primate	placental	mammal	gorilla
forced_landing	aircraft_landing	landing	arrival	action	act	crash_landing
placental	mammal	vertebrate	chordate	animal	organism	carnivore
despair	feeling	state	attribute	abstraction	entity	discouragement
waste	activity	act	event	psychological_feature	abstraction	boondoggle
